timestamp,gpu_util_%,mem_used_MiB,mem_total_MiB,mem_util_%,temp_C,power_W
2026/09/22 17:34:29.032, 0, 0, 46068, 0, 30, 21.41
2026/09/22 17:34:44.088, 0, 0, 46068, 0, 30, 21.42
2026/09/22 17:34:59.152, 0, 6173, 46068, 0, 33, 69.48
2026/09/22 17:35:14.205, 100, 24329, 46068, 94, 44, 153.46
2026/09/22 17:35:29.269, 0, 36211, 46068, 0, 50, 217.52
2026/09/22 17:35:44.326, 100, 36237, 46068, 72, 59, 206.53
2026/09/22 17:35:59.391, 100, 36417, 46068, 81, 65, 204.42
2026/09/22 17:36:14.456, 100, 36417, 46068, 81, 70, 263.88
2026/09/22 17:36:29.524, 100, 36417, 46068, 79, 75, 269.43
2026/09/22 17:36:44.597, 100, 36417, 46068, 89, 76, 280.28
2026/09/22 17:36:59.661, 100, 36419, 46068, 84, 78, 287.16
2026/09/22 17:37:14.729, 100, 36419, 46068, 82, 79, 293.67
2026/09/22 17:37:29.808, 100, 36419, 46068, 93, 78, 247.32
2026/09/22 17:37:44.876, 0, 36419, 46068, 0, 64, 85.89
2026/09/22 17:37:59.965, 9, 36419, 46068, 0, 58, 81.75
